Event,Sample label (Offset in mm/cm),Expedition,Site,H,Core,Type,Sect,Offset [cm],Depth sed [m] (CSFA),Depth comp [mcd] (Cappelli et al. 2019 (CCSF)),Offset [m] (Cappelli splice),Offset [m] (Bohaty splice (CCSF offset [S...),Depth comp [mcd] (Bohaty (CCSF-A/CCSF-M)),Depth comp [mcd] (two-site composite (Depth CCS...),Ca count [#],Fe count [#],Ca/Fe,Comment (Notes),Age [Ma],Al,Ti,Ti_Al,log_CaFe,CaCO3_wt_pct
342-U1410B,"342-U1410B-10H-4,58",342,U1410,B,10,H,4,58,81.38,87.95,6.57,6.57,87.95,68.55,2038559,365297,5.581,,40.128076,28705.0,29670.0,1.0336178366138304,0.7467120225166605,44.136838020089705
342-U1410B,"342-U1410B-10H-4,60",342,U1410,B,10,H,4,60,81.4,87.97,6.57,6.57,87.97,68.57,2148402,337767,6.361,,40.1287002,28419.0,28226.0,0.993208768781449,0.8035253955765324,46.10513732974897
342-U1410B,"342-U1410B-10H-4,62",342,U1410,B,10,H,4,62,81.42,87.99,6.57,6.57,87.99,68.59,2188924,343214,6.378,,40.1293243,27139.0,27539.0,1.0147389365857253,0.8046845149069404,46.14529501895095
342-U1410B,"342-U1410B-10H-4,64",342,U1410,B,10,H,4,64,81.44,88.01,6.57,6.57,88.01,68.61,2415378,290400,8.317,,40.1299484,26102.0,25101.0,0.961650448241514,0.9199667014833871,50.13924637289195
342-U1410B,"342-U1410B-10H-4,66",342,U1410,B,10,H,4,66,81.46,88.03,6.57,6.57,88.03,68.63,2492602,282074,8.837,,40.1305726,24671.0,23961.0,0.9712212719387134,0.9463048549934749,51.05173170124894
342-U1410B,"342-U1410B-10H-4,68",342,U1410,B,10,H,4,68,81.48,88.05,6.57,6.57,88.05,68.65,2701482,251237,10.753,,40.1311967,24159.0,22139.0,0.9163872676849207,1.0315296458034229,54.00434457885959
342-U1410B,"342-U1410B-10H-4,70",342,U1410,B,10,H,4,70,81.5,88.07,6.57,6.57,88.07,68.67,2598661,263451,9.864,,40.1318208,24457.0,23463.0,0.9593572392362105,0.9940530635876753,52.705968387995014
342-U1410B,"342-U1410B-10H-4,72",342,U1410,B,10,H,4,72,81.52,88.09,6.57,6.57,88.09,68.69,2656423,249876,10.631,,40.132445,23874.0,21735.0,0.9104046242774566,1.0265741181503345,53.832660323318336
342-U1410B,"342-U1410B-10H-4,74",342,U1410,B,10,H,4,74,81.54,88.11,6.57,6.57,88.11,68.71,2709776,247780,10.936,,40.1330691,23858.0,22182.0,0.9297510269092129,1.0388585015597658,54.258252786538094
342-U1410B,"342-U1410B-10H-4,76",342,U1410,B,10,H,4,76,81.56,88.13,6.57,6.57,88.13,68.73,2849853,242839,11.736,,40.1336932,21670.0,20582.0,0.9497923396400554,1.0695201008352262,55.320523893436416
342-U1410B,"342-U1410B-10H-4,78",342,U1410,B,10,H,4,78,81.58,88.15,6.57,6.57,88.15,68.75,3452390,171430,20.139,,40.1343173,16199.0,14662.0,0.9051175998518427,1.304037901904583,63.44539311148428
342-U1410B,"342-U1410B-10H-4,80",342,U1410,B,10,H,4,80,81.6,88.17,6.57,6.57,88.17,68.77,3522298,164910,21.359,,40.1349415,15527.0,13270.0,0.854640303986604,1.3295809157418985,64.33033082587808
342-U1410B,"342-U1410B-10H-4,82",342,U1410,B,10,H,4,82,81.62,88.19,6.57,6.57,88.19,68.79,4025907,105482,38.167,,40.1355656,11250.0,9150.0,0.8133333333333334,1.5816880249045888,73.06458162281949
